EU I-ORG
rejects _RARE_
German I-MISC
call O
to O
boycott O
British I-MISC
lamb _RARE_
. O
Peter I-PER
Blackburn I-PER
BRUSSELS I-LOC
1996-08-22 O
The O
European I-ORG
Commission I-ORG
said O
on O
Thursday O
it O
disagreed _RARE_
with O
German I-MISC
advice O
to O
consumers O
to O
shun _RARE_
British I-MISC
lamb _RARE_
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
transmitted _RARE_
to O
sheep O
. O
Germany I-LOC
's O
representative O
to O
the O
European I-ORG
Union I-ORG
's O
veterinary O
committee O
Werner _RARE_
Zwingmann _RARE_
said O
on O
Wednesday O
consumers O
should O
buy O
sheepmeat _RARE_
from O
countries O
other O
than O
Britain I-LOC
until O
the O
scientific O
advice O
was O
clearer _RARE_
. O
" O
We O
do O
n't O
support O
any O
such O
recommendation _RARE_
because O
we O
do O
n't O
see O
any O
grounds O
for O
it O
, O
" O
the O
Commission I-ORG
's O
chief O
spokesman O
Nikolaus _RARE_
van I-PER
der I-PER
Pas _RARE_
told O
a O
news O
briefing O
. O
He O
said O
further O
scientific O
study O
was O
required O
and O
if O
it O
was O
found O
that O
action O
was O
needed O
it O
should O
be O
taken O
by O
the O
European I-ORG
Union I-ORG
. O
He O
said O
a O
proposal O
last O
month O
by O
EU I-ORG
Farm _RARE_
Commissioner O
Franz _RARE_
Fischler I-PER
to O
ban O
sheep O
brains _RARE_
, O
spleens _RARE_
and O
spinal O
cords _RARE_
from O
the O
human O
and O
animal O
food O
chains O
was O
a O
highly O
specific O
and O
precautionary _RARE_
move O
to O
protect _RARE_
human O
health O
. O
Fischler I-PER
proposed O
EU-wide _RARE_
measures O
after O
reports O
from O
Britain I-LOC
and O
France I-LOC
that O
under O
laboratory _RARE_
conditions O
sheep O
could O
contract O
Bovine _RARE_
Spongiform _RARE_
Encephalopathy _RARE_
( O
BSE I-MISC
) O
-- O
mad O
cow O
disease O
. O
But O
Fischler I-PER
agreed O
to O
review O
his O
proposal O
after O
the O
EU I-ORG
's O
standing O
veterinary O
committee O
, O
mational _RARE_
animal O
health O
officials O
, O
questioned O
if O
such O
action O
was O
justified _RARE_
as O
there O
was O
only O
a O
slight O
risk O
to O
human O
health O
. O
Spanish I-MISC
Farm _RARE_
Minister O
Loyola _RARE_
de I-PER
Palacio _RARE_
had O
earlier O
accused O
Fischler I-PER
at O
an O
EU I-ORG
farm O
ministers O
' O
meeting O
of O
causing _RARE_
unjustified _RARE_
alarm _RARE_
through O
" O
dangerous O
generalisation _RARE_
. O
" O
. O
Only O
France I-LOC
and O
Britain I-LOC
backed O
Fischler I-PER
's O
proposal O
. O
The O
EU I-ORG
's O
scientific O
veterinary O
and O
multidisciplinary _RARE_
committees _RARE_
are O
due O
to O
re-examine _RARE_
the O
issue O
early O
next O
month O
and O
make O
recommendations _RARE_
to O
the O
senior O
veterinary O
officials O
. O
Sheep _RARE_
have O
long O
been O
known O
to O
contract O
scrapie _RARE_
, O
a O
brain-wasting _RARE_
disease O
similar O
to O
BSE I-MISC
which O
is O
believed O
to O
have O
been O
transferred _RARE_
to O
cattle O
through O
feed O
containing O
animal O
waste O
. O
British I-MISC
farmers O
denied O
on O
Thursday O
there O
was O
any O
danger O
to O
human O
health O
from O
their O
sheep O
, O
but O
expressed O
concern O
that O
German I-MISC
government O
advice O
to O
consumers O
to O
avoid O
British I-MISC
lamb _RARE_
might O
influence _RARE_
consumers O
across O
Europe I-LOC
. O
" O
What O
we O
have O
to O
be O
extremely O
careful _RARE_
of O
is O
how O
other O
